Time;total number of calls;total number of successful calls;total number of unsuccessful calls
1;0;0;0
2;0;0;0
3;0;0;0
4;0;0;0
5;0;0;0
6;0;0;0
7;0;0;0
8;0;0;0
9;0;0;0
10;0;0;0
11;0;0;0
12;0;0;0
13;0;0;0
14;0;0;0
15;0;0;0
16;0;0;0
17;0;0;0
18;0;0;0
19;0;0;0
20;0;0;0
21;0;0;0
22;1;0;1
23;1;0;1
24;1;0;1
25;1;0;1
26;1;0;1
27;1;0;1
28;1;0;1
29;1;0;1
30;2;1;1
31;2;1;1
32;2;1;1
33;3;2;1
34;3;2;1
35;4;3;1
36;5;3;2
37;5;3;2
38;5;3;2
39;6;4;2
40;7;5;2
41;7;5;2
42;8;6;2
43;8;6;2
44;8;6;2
45;10;8;2
46;11;9;2
47;12;10;2
48;13;11;2
49;13;11;2
50;15;12;3
51;17;14;3
52;17;14;3
53;17;14;3
54;17;14;3
55;18;14;4
56;18;14;4
57;19;15;4
58;19;15;4
59;19;15;4
60;21;17;4
61;21;17;4
62;21;17;4
63;21;17;4
64;21;17;4
65;21;17;4
66;21;17;4
67;23;19;4
68;24;20;4
69;26;22;4
70;26;22;4
71;26;22;4
72;26;22;4
73;26;22;4
74;27;23;4
75;27;23;4
76;27;23;4
77;29;25;4
78;29;25;4
79;31;27;4
80;32;28;4
81;33;29;4
82;33;29;4
83;34;30;4
84;34;30;4
85;34;30;4
86;34;30;4
87;36;32;4
88;37;33;4
89;39;34;5
90;39;34;5
91;41;36;5
92;41;36;5
93;41;36;5
94;42;37;5
95;42;37;5
96;42;37;5
97;43;38;5
98;45;40;5
99;45;40;5
100;46;40;6
101;46;40;6
102;48;41;7
103;49;42;7
104;51;44;7
105;52;44;8
106;53;45;8
107;53;45;8
108;53;45;8
109;53;45;8
110;53;45;8
111;53;45;8
112;53;45;8
113;55;47;8
114;56;47;9
115;57;48;9
116;60;51;9
117;60;51;9
118;60;51;9
119;61;52;9
120;62;53;9
121;65;56;9
122;65;56;9
123;65;56;9
124;65;56;9
125;66;57;9
126;67;58;9
127;67;58;9
128;67;58;9
129;67;58;9
130;67;58;9
131;67;58;9
