Time;mean waiting time;total number of callers actually waiting
1;;2
2;;2
3;;1
4;;0
5;;0
6;;1
7;;1
8;;1
9;;2
10;;0
11;;2
12;;1
13;;0
14;;2
15;;0
16;;1
17;;1
18;;0
19;;1
20;;0
21;;1
22;0;1
23;0;1
24;0;1
25;0;0
26;0;1
27;0;0
28;0;0
29;0;0
30;0;0
31;0;0
32;0;0
33;0.3333333333333333;1
34;0.3333333333333333;1
35;0.5;2
36;0.6;1
37;0.6;2
38;0.6;1
39;0.8333333333333334;0
40;1;1
41;1;1
42;1.125;1
43;1.125;2
44;1.125;2
45;1.1;2
46;1;1
47;0.9166666666666666;0
48;0.9230769230769231;2
49;0.9230769230769231;3
50;0.8;1
51;0.7647058823529411;1
52;0.7647058823529411;1
53;0.7647058823529411;2
54;0.7647058823529411;0
55;0.7777777777777778;1
56;0.7777777777777778;1
57;0.7894736842105263;1
58;0.7894736842105263;1
59;0.7894736842105263;0
60;0.7619047619047619;1
61;0.7619047619047619;1
62;0.7619047619047619;0
63;0.7619047619047619;2
64;0.7619047619047619;1
65;0.7619047619047619;3
66;0.7619047619047619;2
67;0.8260869565217391;4
68;0.875;3
69;0.8461538461538461;3
70;0.8461538461538461;3
71;0.8461538461538461;4
72;0.8461538461538461;2
73;0.8461538461538461;4
74;0.8518518518518519;4
75;0.8518518518518519;2
76;0.8518518518518519;3
77;0.9310344827586207;3
78;0.9310344827586207;3
79;0.9354838709677419;4
80;1;4
81;0.9696969696969697;3
82;0.9696969696969697;3
83;1;3
84;1;1
85;1;1
86;1;2
87;0.9722222222222222;2
88;0.9459459459459459;3
89;0.9487179487179487;1
90;0.9487179487179487;2
91;1;2
92;1;1
93;1;1
94;1.0238095238095237;2
95;1.0238095238095237;2
96;1.0238095238095237;1
97;1;2
98;1.0888888888888888;1
99;1.0888888888888888;2
100;1.065217391304348;2
101;1.065217391304348;1
102;1.0416666666666667;0
103;1.0204081632653061;1
104;1.2941176470588236;1
105;1.2884615384615385;0
106;1.528301886792453;1
107;1.528301886792453;1
108;1.528301886792453;0
109;1.528301886792453;1
110;1.528301886792453;0
111;1.528301886792453;0
