Time;all drivers with speed == 0;all drivers with speed <= 5
1;0;5
2;0;2
3;2;3
4;0;4
5;0;2
6;0;2
7;0;3
8;0;3
9;1;5
10;1;5
11;1;6
12;1;6
13;1;6
14;3;7
15;3;6
16;3;6
17;3;7
18;4;6
19;5;8
20;7;8
21;8;9
22;9;9
23;9;10
24;10;10
25;10;10
26;10;10
27;10;10
28;10;10
29;10;10
30;10;10
31;10;10
32;10;10
33;10;10
34;10;11
35;10;10
36;10;11
37;10;11
38;10;11
39;10;12
40;10;11
41;10;11
42;10;11
43;10;11
44;10;12
45;10;13
46;12;12
47;11;13
48;11;11
49;11;11
50;11;11
51;11;14
52;11;15
53;12;17
54;13;17
55;13;17
56;12;21
57;13;20
58;14;20
59;15;20
60;14;20
61;16;20
62;16;21
63;15;21
64;10;17
65;11;12
66;10;11
67;9;10
68;9;10
69;9;10
70;9;11
71;9;13
72;11;14
73;13;14
74;13;14
75;13;14
76;14;16
77;14;17
78;16;17
79;16;17
80;16;18
81;16;18
82;16;17
83;15;18
84;16;17
85;16;18
86;17;18
87;18;18
88;18;18
89;18;19
90;18;19
91;18;19
92;18;19
93;18;18
94;18;18
95;18;18
96;18;18
97;18;18
98;18;18
99;18;18
100;18;18
101;18;18
102;18;18
103;18;18
104;18;18
105;18;18
106;18;18
107;18;18
108;18;18
109;18;18
110;18;18
111;18;18
112;18;18
113;18;18
114;18;18
115;18;18
116;18;18
117;18;18
118;18;18
119;18;18
120;18;18
121;18;18
122;18;18
123;18;18
124;18;18
125;18;18
126;16;18
127;13;16
128;10;14
129;6;11
130;4;6
131;4;5
132;2;4
133;2;2
134;1;3
135;1;5
136;0;6
137;0;8
138;2;10
139;4;10
140;5;10
141;3;12
142;6;11
143;7;12
144;10;12
145;9;12
146;11;13
147;11;14
148;11;13
149;11;14
150;13;14
151;12;13
152;12;12
153;12;12
154;12;12
155;12;13
156;12;13
157;13;13
158;12;13
159;12;12
160;12;12
161;12;14
162;12;13
163;12;12
164;12;13
165;12;13
166;12;12
167;12;13
168;12;12
169;12;13
170;12;15
171;13;13
172;12;13
173;12;13
174;12;12
175;12;13
176;14;14
177;14;14
178;14;14
179;14;15
180;14;16
181;16;17
182;16;17
183;17;17
184;17;17
185;17;17
186;17;17
187;17;17
188;17;17
189;15;17
190;10;16
191;9;11
192;6;9
193;6;7
194;6;6
195;6;8
196;6;6
197;6;6
198;6;8
199;6;8
200;6;8
201;7;9
202;7;10
203;8;11
204;9;14
205;11;15
206;11;15
207;14;17
208;14;17
209;15;17
210;14;17
211;15;17
212;14;18
213;16;18
214;17;18
215;17;19
216;17;20
217;18;20
218;18;20
219;18;20
220;19;19
221;18;19
222;18;18
223;18;18
224;18;18
225;18;18
226;18;18
227;18;18
228;18;18
229;18;18
230;18;18
231;18;18
232;18;18
233;18;18
234;18;18
235;18;18
236;18;18
237;18;18
238;18;18
239;18;18
240;18;18
241;18;18
242;18;18
243;18;18
244;18;18
245;18;18
246;18;18
247;18;18
248;18;18
249;18;18
250;18;18
251;18;18
252;14;18
253;12;15
254;7;12
255;6;9
256;3;6
257;3;4
258;0;3
259;0;0
260;0;0
261;0;2
262;0;4
263;0;4
264;0;7
265;2;10
266;5;11
267;5;12
268;5;12
269;6;12
270;8;12
271;10;12
272;9;12
273;10;12
274;11;12
275;12;12
276;12;12
277;12;12
278;12;12
279;12;12
280;12;12
281;12;12
282;12;12
283;12;12
284;12;12
285;12;12
286;12;12
